iter	Passed	Remaining
685	1820	833
686	1823	830
687	1825	827
688	1828	825
689	1831	822
690	1834	820
691	1836	817
692	1839	814
693	1842	812
694	1844	809
695	1847	806
696	1849	804
697	1852	801
698	1855	799
699	1858	796
700	1862	794
701	1865	792
702	1868	789
703	1871	786
704	1874	784
705	1877	781
706	1880	779
707	1883	776
708	1887	774
709	1890	772
710	1891	768
711	1893	766
712	1896	763
713	1899	760
714	1902	758
715	1904	755
716	1906	752
717	1909	749
718	1912	747
719	1916	745
720	1919	742
721	1921	739
722	1924	737
723	1927	734
724	1930	732
725	1933	729
726	1937	727
727	1940	724
728	1943	722
729	1946	720
730	1950	717
731	1952	715
732	1955	712
733	1959	710
734	1961	707
735	1964	704
736	1966	701
737	1970	699
738	1973	697
739	1976	694
740	1980	692
741	1983	689
742	1986	686
743	1989	684
744	1992	682
745	1994	679
746	1997	676
747	1999	673
748	2003	671
749	2005	668
750	2007	665
751	2010	663
752	2013	660
753	2019	658
754	2022	656
755	2024	653
756	2027	650
757	2029	647
758	2031	645
759	2034	642
760	2036	639
761	2038	636
762	2040	633
763	2044	631
764	2046	628
765	2049	626
766	2051	623
767	2053	620
768	2055	617
769	2058	614
770	2061	612
771	2065	609
772	2068	607
773	2070	604
774	2073	602
775	2076	599
776	2078	596
777	2081	593
778	2084	591
779	2087	588
780	2091	586
781	2093	583
782	2097	581
783	2100	578
784	2103	576
785	2107	573
786	2110	571
787	2111	568
788	2114	565
789	2116	562
790	2119	560
791	2123	557
792	2124	554
793	2127	551
794	2129	549
795	2133	546
796	2135	543
797	2138	541
798	2140	538
799	2142	535
800	2144	532
801	2147	530
802	2150	527
803	2154	525
804	2157	522
805	2161	520
806	2164	517
807	2169	515
808	2172	512
809	2174	510
810	2177	507
811	2180	504
812	2183	502
813	2186	499
814	2187	496
815	2190	493
816	2193	491
817	2196	488
818	2198	485
819	2201	483
820	2204	480
821	2205	477
822	2208	475
823	2209	472
824	2211	469
825	2215	466
826	2217	463
827	2219	461
828	2222	458
829	2225	455
830	2228	453
831	2230	450
832	2233	447
833	2236	445
834	2239	442
835	2242	439
836	2244	437
837	2247	434
838	2250	431
839	2252	429
840	2255	426
841	2258	423
842	2261	421
843	2263	418
844	2266	415
845	2269	413
846	2272	410
847	2275	407
848	2277	405
849	2280	402
850	2282	399
851	2284	396
852	2287	394
853	2290	391
854	2293	388
855	2296	386
856	2299	383
857	2302	381
858	2304	378
859	2306	375
860	2308	372
861	2310	369
862	2313	367
863	2315	364
864	2319	362
865	2326	360
866	2329	357
867	2333	354
868	2334	351
869	2337	349
870	2338	346
871	2340	343
872	2342	340
873	2344	338
874	2346	335
875	2350	332
876	2352	329
877	2355	327
878	2358	324
879	2361	322
880	2364	319
881	2367	316
882	2370	314
883	2373	311
884	2376	308
885	2378	306
886	2381	303
887	2385	300
888	2387	298
889	2390	295
890	2392	292
891	2394	289
892	2396	287
893	2398	284
894	2399	281
895	2401	278
896	2404	276
897	2407	273
898	2410	270
899	2412	268
900	2414	265
901	2416	262
902	2420	259
903	2423	257
904	2426	254
905	2429	252
906	2431	249
907	2434	246
908	2437	244
909	2440	241
910	2442	238
911	2445	235
912	2448	233
913	2452	230
914	2455	228
915	2459	225
916	2461	222
917	2464	220
918	2467	217
919	2470	214
920	2472	212
921	2475	209
922	2477	206
923	2481	204
924	2484	201
925	2489	198
926	2492	196
927	2494	193
928	2496	190
929	2498	188
930	2500	185
931	2503	182
932	2505	179
933	2507	177
934	2510	174
935	2513	171
936	2516	169
937	2518	166
938	2521	163
939	2523	161
